# kind	where	detail
JOIN-SPACE	p252	” | ทิตัส 2:11 1
LINE-HYPHEN	p252	ารถูกยกเลิกไปพร้อมกับกฎ- | ระเบียบของพิธีกรรมนั้น เ
JOIN-SPACE	p252	ล่ย์กล่าวว่า | “บัญญัติศีลธ
LINE-HYPHEN	p252	นใดที่ง่ายต่อการเปลี่ยน- | แปลง แต่ขึ้นอยู่กับพระลั
JOIN-SPACE	p252	์ในที่นี้คือ | (สอดคล้องกับ
JOIN-SPACE	p253	ษย์ให้ละเมิด | (ลบล้าง ปล่อ
JOIN-SPACE	p254	’ | ดังนั้นเป็นเ
LINE-HYPHEN	p254	ยการเดินทางประกาศ—มีจิต- | วิญญาณที่ฝักใฝ่ติดตามเขา
JOIN-SPACE	p256	” | ยอห์น 3:19 ป
LINE-HYPHEN	p256	จของระบอบเปปาซี และอัคร- | สาวกผู้บันทึกพระธรรมวิวร
JOIN-SPACE	p257	รดดูภาคผนวก) | ในเวลานั้นกอ
JOIN-SPACE	p257	ดทรงทำนายถึง | “ความทุกข์ลำ
JOIN-SPACE	p258	านของพระวจนะ | (โปรดดูภาคผน
LINE-HYPHEN	p259	ดาประเทศต่างๆ ในประวัติ- | ศาสตร์ของพระคัมภีร์  อีย
JOIN-SPACE	p259	” | อพยพ 5:2 นี่
JOIN-SPACE	p259	่าย “วิญญาณ” | อีกด้วย ความ
LINE-HYPHEN	p260	่ยวอยู่ต่างหากในประวัติ- | ศาสตร์โลกในฐานะรัฐเดียวท
LINE-HYPHEN	p264	ื่ออุทิศให้กับการสำมะเล- | เทเมาและการหมิ่นประมาทพร
LINE-HYPHEN	p264	่มีพื้นฐานทั้งในประวัติ- | ศาสตร์หรือสัจธรรมอันศักด
JOIN-SPACE	p265	” | สดุดี 14:1 แ
LINE-HYPHEN	p265	เขา  ซึ่งพวกเขาตั้งสมญา- | นามให้เธอว่าเทพธิดาแห่งเ
LINE-HYPHEN	p266	 ตำราสวดมนต์และพระคริสต- | ธรรมคัมภีร์ภาคพันธสัญญาเ
LINE-HYPHEN	p267	ามเป็นระเบียบและฐานันดร- | ศักดิ์ด้วย” G. de Felice
JOIN-SPACE	p268	” | อิสยาห์ 32:1
LINE-HYPHEN	p268	ให้กับปัญญาและควบคุมจิต- | สำนึกของประชากรของเธอแล้
LINE-HYPHEN	p272	่งซึ่งจารึกไว้ในประวัติ- | ศาสตร์ของโลกว่าเป็นยุคแห
JOIN-SPACE	p274	” | “พระยาห์เวห์
JOIN-SPACE	p274	” | อิสยาห์ 48:1
LINE-HYPHEN	p275	ของการล่วงละเมิด และพระ- | วิญญาณของพระเจ้าได้ทรงยั
LINE-HYPHEN	p275	ละทิ้งความเชื่อและอาชญา- | กรรมที่ดำเนินมาเป็นเวลาห
LINE-HYPHEN	p275	บครัว บ้านเมืองและคริสต- | จักรต่างถูกฟาดฟันทำลายลง
JOIN-SPACE	p275	” | “แม้ว่าคนบาป
LINE-HYPHEN	p276	การก่อตั้งสมาคมพระคริสต- | ธรรมคัมภีร์อังกฤษและต่าง
LINE-HYPHEN	p278	ริ่มต้น พวกเขาถือว่าประ- | เพณีมากมายที่คริสตจักรอั
LINE-HYPHEN	p278	ห้มีการไม่เห็นด้วยกับกฎ- | ระเบียบของเธอ กฎหมายกำหน
LINE-HYPHEN	p279	ั่งที่เป็นมิตรของสาธารณ- | รัฐเนเธอร์แลนด์ {GC 290.
JOIN-SPACE	p280	ห์น โรบินสัน | [John Robins
LINE-HYPHEN	p281	ในพวกนักคิดและนักสอนศีล- | ธรรมชั้นนำของศตวรรษที่สิ
LINE-HYPHEN	p281	ของการเติบโตของพระคริสต- | ธรรมคัมภีร์ภาคพันธสัญญาใ
LINE-HYPHEN	p281	คริสตจักรที่จะควบคุมจิต- | สำนึกและมีอำนาจตีความรวม
JOIN-SPACE	p282	er Williams] | เดินทางมายัง
LINE-HYPHEN	p282	วมพิธีกรรมต่างๆ ในคริสต- | จักรที่ก่อตั้งขึ้นมาแล้ว
JOIN-SPACE	p283	ทานขึ้นมาว่า | ‘อะไรกันนะ ค
LINE-HYPHEN	p283	การมอบสิทธิอำนาจแก่เจ้า- | พนักงานฝ่ายปกครองให้อยู่
LINE-HYPHEN	p283	ปกครองให้อยู่เหนือคริสต- | จักรและการเรียกร้องเสรีภ
JOIN-SPACE	p283	มหมายเช่นใด” | แต่ “นกกาในป
JOIN-SPACE	p283	้ยงข้าพเจ้า” | และบ่อยครั้ง
JOIN-SPACE	p283	ิลเลียมส์คือ | “มนุษย์ทุกคน
JOIN-SPACE	p283	วงหาความสุข” | และรัฐธรรมนู
JOIN-SPACE	p284	เมิดจิตสำนึก | “จะไม่มีการก
JOIN-SPACE	p284	หรัฐอเมริกา” | “รัฐสภาจะไม่
LINE-HYPHEN	p284	โดยกฎหมายพิเศษ รัฐแมสซา- | ชูเซตส์เสนอให้การต้อนรับ
LINE-HYPHEN	p284	ปล่าโดยทุนของรัฐแก่คริส- | เตียนทุกชนชั้นที่ต้องการ
LINE-HYPHEN	p284	ตั้งรกรากที่อาณานิคมนิว- | อิงแลนด์เป็นจำนวนหลายพัน
JOIN-SPACE	p284	มายที่แสวงหา | “พวกเขาพึงพอ
JOIN-SPACE	p284	ลงในแผ่นดิน” | {GC 296.2}
LINE-HYPHEN	p285	น ผู้ที่อาศัยอยู่ในอาณา- | นิคมของพวกพิวริตันมาหลาย
JOIN-SPACE	p285	รุ่งเรืองของ | “คริสตจักรที
LINE-HYPHEN	p285	ระตุ้นด้วยแรงดลใจที่แตก- | ต่างอย่างมากจากของพิลกริ
LINE-HYPHEN	p285	วซึ่งพบได้บ่อยในประวัติ- | ศาสตร์ของคริสตจักรนับตั้
LINE-HYPHEN	p287	้านกำลังฝังรากลึก คริสต- | จักรค้ำจุนและปกป้องประเพ
JOIN-SPACE	p288	” | ยอห์น 11:25 
JOIN-SPACE	p288	” | สดุดี 50:2-4
JOIN-SPACE	p289	” | สดุดี 96:11-
JOIN-SPACE	p289	ะองค์เสด็จมา | “พระเจ้าเสด็
JOIN-SPACE	p290	” | กิจการ 3:21 
JOIN-SPACE	p290	จะมา | “เป็นขององค์
JOIN-SPACE	p290	” | พระเจ้า “จะเ
LINE-HYPHEN	p291	งอันมีสุข” ในขณะที่คริส- | เตียนชาวเมืองเธสะโลนิกาก
JOIN-SPACE	p291	6] ประกาศว่า | “ข้าพเจ้าบอก
JOIN-SPACE	p291	ทำลายล้างไป” | Ibid. หน้า 1
JOIN-SPACE	p292	ยังประกาศว่า | “ให้ครอบครัว
LINE-HYPHEN	p292	น็อคซ์นักปฏิรูปชาวสก๊อต- | แลนด์กล่าวว่า “พระเยซูเจ
JOIN-SPACE	p292	ยจะเกิดขึ้น” | Ibid. เล่มที
JOIN-SPACE	p292	ะเยซูตรัสว่า | “จะมีหมายสำค
JOIN-SPACE	p292	” ลูกา 21:25 | “ดวงอาทิตย์จ
LINE-HYPHEN	p293	ษย์เสด็จมาในเมฆ ทรงฤทธา- | นุภาพและพระรัศมีอย่างยิ่
JOIN-SPACE	p293	” | วิวรณ์ 6:12 
LINE-HYPHEN	p293	้รู้สึกได้ถึงประเทศกรีน- | แลนด์ ถึงหมู่เกาะอินดีสต
JOIN-SPACE	p294	ลกมาถึงแล้ว” | แม่ลืมลูกของ
LINE-HYPHEN	p295	ภูมิประเทศที่มืดมิด พ่อ- | บ้านต่างกลับจากงานในทุ่ง
LINE-HYPHEN	p296	ไกลที่สุดของมลรัฐคอนเนต- | ทิกัตและเมืองอัลบานี ไปถ
JOIN-SPACE	p296	 ฉบับที่ 472 | (25 พฤษภาคม 
JOIN-SPACE	p296	ันทร์เต็มดวง | “ก็แทบจะไม่ส
JOIN-SPACE	p296	คำพยากรณ์ว่า | “ดวงอาทิตย์จ
JOIN-SPACE	p297	” | โยเอล 2:31 {
JOIN-SPACE	p297	” | พระองค์ทรงชี
JOIN-SPACE	p297	” | ลูกา 21:28, 
LINE-HYPHEN	p297	 ความใคร่อยากอย่างทะเยอ- | ทะยานในทรัพย์สมบัติและคว
JOIN-SPACE	p298	าดังกล่าวว่า | “เจ้าได้ชื่อ
JOIN-SPACE	p298	” | โยเอล 2:11 ฮ
LINE-HYPHEN	p298	กเขายังคงล่วงละเมิดพันธ- | สัญญาของพระองค์และติดตาม
JOIN-SPACE	p298	” | โฮเชยา 8:2, 
JOIN-SPACE	p298	” | อิสยาห์ 13:1
JOIN-SPACE	p298	ร้องออกมาว่า | “ข้าบิดตัวด้
JOIN-SPACE	p299	” | อิสยาห์ 13:9
JOIN-SPACE	p299	นแผ่นดินโลก” | คำเตือนที่หน
JOIN-SPACE	p299	ส่วนหนึ่งของ | “ข่าวประเสริ
JOIN-SPACE	p300	นะที่แน่นอน” | “เป็นเสมือนต
LINE-HYPHEN	p300	 พวกเขาเป็นคนยามที่ซื่อ- | สัตย์ที่ศึกษาพระคัมภีร์ด
JOIN-SPACE	p300	” | ยอห์น 8:12 ผ
LINE-HYPHEN	p301	ผู้เดินทางสองคนที่เหน็ด- | เหนื่อยจากการเดินทางไกลม
LINE-HYPHEN	p302	์ทั้งหลายที่พระองค์โปรด- | ปรานนั้น” ลูกา 2:14 {GC 
JOIN-SPACE	p303	” | ลูกา 2:25, 3
LINE-HYPHEN	p303	สถานที่ประสูติของพระมหา- | กษัตริย์องค์ใหม่ผู้มาบัง
JOIN-SPACE	p303	พระคริสต์ | “จะทรงปรากฏเ
LINE-HYPHEN	p307	ิสเตียน ในระดับหนึ่งอุป- | นิสัยของพวกเขาจึงถูกหล่อ
JOIN-SPACE	p310	” | 1 เธสะโลนิกา
JOIN-SPACE	p311	ะเป็นเจ้าว่า | “ทุกคนที่ตาย
JOIN-SPACE	p311	ห้รอดตรัสว่า | “เมื่อบุตรมน
JOIN-SPACE	p311	องพระองค์ว่า | ‘ท่านทั้งหลา
LINE-HYPHEN	p312	ึ้นในประวัติศาสตร์มนุษย- | ชาติตามที่แจกแจงไว้อย่าง
JOIN-SPACE	p314	 และกล่าวว่า | “ข้าพเจ้าออก
LINE-HYPHEN	p314	นั่นคือ เรื่องที่เกี่ยว- | ข้องกับเวลา คือช่วงเวลา 
JOIN-SPACE	p314	” | ทูตสวรรค์นั้
LINE-HYPHEN	p314	องไซรัสและดาริอัสและอาร- | ทาเซอร์ซีสกษัตริย์แห่งเป
JOIN-SPACE	p315	“ผู้ถูกเจิม” | ในช่วงฤดูใบไ
JOIN-SPACE	p315	” | ในปี ค.ศ. 31
JOIN-SPACE	p316	” | กิจการ 8:4, 
LINE-HYPHEN	p316	ุดนี้ ก็จะเห็นว่า คำพยา- | กรณ์เหล่านี้เกิดขึ้นจริง
JOIN-SPACE	p318	อยู่ตลอดเวลา | “ถ้าเรากล่าว
LINE-HYPHEN	p319	บาปกลับใจ คนที่เป็นคริส- | เตียนได้รับการหนุนใจให้ม
LINE-HYPHEN	p319	ลายแห่ง คริสตจักรโปรเตส- | แตนต์ต่างๆ เกือบทุกนิกาย
JOIN-SPACE	p320	” | วิวรณ์ 6:13 
JOIN-SPACE	p321	าจักรโอโตแมน | [Ottoman Emp
LINE-HYPHEN	p322	องโอโตแมนในเมืองคอนสเตน- | ติโนเปิลจะสูญสิ้นลง และข
JOIN-SPACE	p323	าวแอ๊ดเวนตีส | [Adventists 
LINE-HYPHEN	p323	ลังใกล้เข้ามา แต่ถูกประ- | ณามอย่างเย้ยหยันว่าเป็นค
JOIN-SPACE	p323	กนี้กล่าวว่า | “การมองดูเรื
JOIN-SPACE	p324	ื่อกีดกันเรา | [ชาวแอ๊ดเวนต
JOIN-SPACE	p324	ธรรมกับท่าน” | “หากเราเป็นฝ
LINE-HYPHEN	p327	ิดไว้แล้ว ดังนั้น คริสต- | จักรโปรเตสแตนต์จึงเดินตา
JOIN-SPACE	p327	้เข้ามาแล้ว” | วิวรณ์ 1:1-3
JOIN-SPACE	p327	หรับคนๆ นั้น | “ผู้ที่ฟังคำ
JOIN-SPACE	p327	่มนี้เช่นกัน | “ประพฤติตามส
JOIN-SPACE	p327	” | มีคนมากมายไม
LINE-HYPHEN	p328	่จะเกิดขึ้นเมื่อประวัติ- | ศาสตร์ของโลกนี้จะสิ้นสุด
JOIN-SPACE	p330	” | “เพราะความคิ
JOIN-SPACE	p332	” | และสาวกทั้งห
JOIN-SPACE	p333	” | มาระโก 1:15 
LINE-HYPHEN	p333	ราช- | อาณาจักรกับราชอำนาจและคว
JOIN-SPACE	p333	” | ดาเนียล 7:27
JOIN-SPACE	p334	เมตตา ผู้ทรง | “เห็นใจในควา
JOIN-SPACE	p334	” | เพื่อหมายถึง
JOIN-SPACE	p334	” | มัทธิว 25:31
LINE-HYPHEN	p334	ตั้งแผนการเพื่อไถ่มนุษย- | ชาติที่ผิดบาปให้รอด จึงเ
LINE-HYPHEN	p334	กและทิ้งเผ่าพันธุ์มนุษย- | ชาติไว้ให้พินาศในความชั่
JOIN-SPACE	p334	้องขึ้นมาว่า | “สำเร็จแล้ว”
LINE-HYPHEN	p335	งพระเจ้าของพวกเขา ประสบ- | การณ์ขมขื่นที่อนุญาตให้เ
LINE-HYPHEN	p335	่อนุญาตให้เกิดนั้นมีจุด- | ประสงค์ที่จะเตรียมพวกเขา
JOIN-SPACE	p336	” | ด้วยคำพยานใน
JOIN-SPACE	p336	าเดิม พวกเขา | “พบคนที่โมเส
JOIN-SPACE	p336	” | ความหวังที่เ
JOIN-SPACE	p337	โตร 1:25 และ | “ใครจะเป็นผู
JOIN-SPACE	p337	” | และตรัสต่อไป
LINE-HYPHEN	p337	นอำนาจจากเบื้องบนและจิต- | วิญญาณของผู้เชื่อต่างตื้
JOIN-SPACE	p337	ห่งพระคุณกับ | “มงกุฎแห่งคว
JOIN-SPACE	p337	” | ฮีบรู 2:10 ค
JOIN-SPACE	p337	าวกที่ประกาศ | “ข่าวประเสริ
JOIN-SPACE	p337	” | มัทธิว 24:14
JOIN-SPACE	p337	” | มาระโก 1:15 
JOIN-SPACE	p338	ดาเนียล 8:14 | “อยู่นานสองพ
LINE-HYPHEN	p338	์บนเมฆในท้องฟ้าด้วยฤทธา- | นุภาพและทรงพระรัศมีอย่าง
JOIN-SPACE	p338	” | วิวรณ์ 22:12
JOIN-SPACE	p339	มวิวรณ์ 14:7 | “จงเกรงกลัวพ
JOIN-SPACE	p340	”  และ | “พระมรรคาทั้
JOIN-SPACE	p342	” | และประกาศแจ้
JOIN-SPACE	p342	งวาระสุดท้าย | “คนเป็นอันมา
JOIN-SPACE	p343	สะโลนิกา 2:7 | “ลูกแห่งความ
JOIN-SPACE	p343	ห์น 17:2 และ | “คนชั่ว” นั้
JOIN-SPACE	p345	” | อิสยาห์ 53:3
LINE-HYPHEN	p345	3:3 เขามองเห็นว่า คำพยา- | กรณ์ต่างๆ เปิดเผยด้วยน้ำ
JOIN-SPACE	p345	กริบไปโดยเขา | (ปฐมกาล 1: 2
JOIN-SPACE	p346	’” | Ibid. หน้า 2
JOIN-SPACE	p346	วูลฟฟ์ตอบว่า | “องค์พระผู้เ
JOIN-SPACE	p346	ที่แน่นอนของ | ‘วันนั้น โมง
JOIN-SPACE	p346	ทางที่ผิดว่า | “โบสถ์คริสเต
LINE-HYPHEN	p347	เขาก็ไปเทศนาที่รัฐฟีลลา- | เดลเฟียและเบลติมอลและในท
LINE-HYPHEN	p347	ดยการเสนอของอดีตประธานา- | ธิบดีควีนซี อาดัมส์ในการ
LINE-HYPHEN	p348	นทางของเขาไปยังเมืองปอค- | ฮารา เขาได้พบคนกลุ่มหนึ่
JOIN-SPACE	p349	ี เบน เอสรา” | [Rabbi Ben-E
JOIN-SPACE	p349	อนโดยเบ็งเกล | [Bengel] ซึ่
LINE-HYPHEN	p349	ผู้รับใช้คนหนึ่งในคริสต- | จักรลูเธอร์เรนและเป็นนัก
JOIN-SPACE	p349	ว่าเป็นเพราะ | ‘ลูกศรมากมาย
JOIN-SPACE	p350	ราณของโรลลิน | [Rollin] แล้
LINE-HYPHEN	p350	ว เขาเริ่มสนใจพระธรรมดา- | เนียลบทที่ 2 และเขารู้สึ
LINE-HYPHEN	p351	่เขาดำเนินการค้นหาคำพยา- | กรณ์ต่อไปนั้น เขาได้มาถึ
LINE-HYPHEN	p351	เขา ในที่สุดเขาตัดสินใจ- | เหมือนเช่นที่ฟาเรลทำมาแล
LINE-HYPHEN	p352	มาเป็นครูในโรงเรียนศาสน- | ศาสตร์ ในวันอาทิตย์เขาทำ
LINE-HYPHEN	p352	ิสต์ แต่คณะสงฆ์ของคริสต- | จักรของรัฐต่อต้านขบวนการ
JOIN-SPACE	p353	ูลพระองค์ว่า | “ท่านไม่ได้ย
LINE-HYPHEN	p354	าถึง ดั่งยอห์นผู้ให้บัพ- | ติศมาผู้บอกข่าวล่วงหน้าข
JOIN-SPACE	p355	้รับความรอด” | ชีวิตของผู้ท
JOIN-SPACE	p357	” | เขายังกล่าวถ
LINE-HYPHEN	p358	อน โดยรวมแล้วเมื่อคริสต- | จักรปฏิเสธข่าวสาร ทูตสวร
JOIN-SPACE	p359	รดดูภาคผนวก) | {GC 373.2}
LINE-HYPHEN	p361	ยใช้อ้างอิงและเป็นศาสนา- | จารย์ของโบสถ์ระดับแนวหน้
LINE-HYPHEN	p380	ของเปาโลด้วย ไม่ว่าอัคร- | สาวกเปาโลจะจัดตั้งคริสตจ
JOIN-SPACE	p396	งชาวฮีบรูว่า | “แม้แต่พันธส
LINE-HYPHEN	p397	 [สถานนมัสการ] แห่งพันธ- | สัญญาใหม่ สถานนมัสการแห่
LINE-HYPHEN	p397	หม่ สถานนมัสการแห่งพันธ- | สัญญาเดิมนั้นถูกตั้งขึ้น
LINE-HYPHEN	p400	งรากฐานและผู้สร้างคริสต- | จักรของพระเจ้า อัครทูตเป
JOIN-SPACE	p400	์ของพระองค์” | มัทธิว 25:31
JOIN-SPACE	p400	งปราศจากบาป” | “พระองค์จึงท
LINE-HYPHEN	p401	เป็นสถานนมัสการแห่งพันธ- | สัญญาใหม่ เมื่อ 2,300 วั
LINE-HYPHEN	p401	สการบนโลกตามที่พระคริสต- | ธรรมคัมภีร์เดิมบันทึกไว้
LINE-HYPHEN	p405	นมัสการบนโลก พิธีในพันธ- | สัญญาใหม่ก็เช่นกัน โดยคว
LINE-HYPHEN	p410	จมาของพระคริสต์ไปยังอภิ- | สุทธิสถานในฐานะมหาปุโรหิ
JOIN-SPACE	p411	งพระเมษโปดก” | ทูตสวรรค์บอก
LINE-HYPHEN	p411	าวที่เป็นมเหสีของพระเมษ- | โปดก” ผู้เผยพระวจนะกล่าว
LINE-HYPHEN	p414	รมวิวรณ์ที่ตรัสกับคริสต- | จักรในเวลาปัจจุบันนี้ว่า
LINE-HYPHEN	p416	กเขาจึงเข้าใจข่าวของทูต- | สวรรค์องค์ที่หนึ่งและองค
JOIN-SPACE	p419	ธรรมบัญญัติ” | มัทธิว 5:18 
LINE-HYPHEN	p426	รของจิตใจที่ไม่ยอมประนี- | ประนอมและกดขี่ข่มเหงซึ่ง
JOIN-SPACE	p430	เจ้าของเจ้า” | อพยพ  20:10 
LINE-HYPHEN	p431	ระกาศว่าการที่ชาวโปรเตส- | แตนต์ยอมรับการถือรักษาวั
LINE-HYPHEN	p433	หมายของมัน  ถึงแม้คริสต- | จักรและรัฐจะร่วมมือกันใช
LINE-HYPHEN	p444	ผล พวกเขาเชื่อและรับบัพ- | ติศมาและลุกขึ้นดำเนินไปต
LINE-HYPHEN	p446	่นิยมกันในทุกวันนี้ จิต- | วิญญาณแห่งการถวายตนให้พร
JOIN-SPACE	p450	ปาโลกล่าวว่า | “ถ้าเช่นนั้น
LINE-HYPHEN	p457	รยากาศของฟ้าสวรรค์เปรอะ- | เปื้อนพร้อมทั้งบังคับทุก
JOIN-SPACE	p459	ีเต็มเปี่ยม” | ยอห์น 14:14;
LINE-HYPHEN	p486	 ปฐม- | กาล  3:15  คำตัดสินของพร
LINE-HYPHEN	p486	็นศัตรูของซาตานต่อมนุษย- | ชาติปะทุขึ้นเพราะโดยทางพ
JOIN-SPACE	p490	พวกเขาไม่ได้ | “ต่อสู้กับเน
LINE-HYPHEN	p493	 ของพระราชาเซนนา- | เคอริบ  “ฉะนั้นพระองค์จึ
LINE-HYPHEN	p494	ะพวกมันเข้าใจว่าหากพันธ- | กิจของพระคริสต์ประสบผลสำ
LINE-HYPHEN	p502	 พวกเขาจึงถือว่าประวัติ- | ศาสตร์ในพระคัมภีร์เป็นเร
LINE-HYPHEN	p504	รื่องไม่จำเป็น นักวิทยา- | ศาสตร์อ้างว่า  ไม่มีคำตอ
LINE-HYPHEN	p512	ประการฉะนี้ ปีศาจเอาคุณ- | ลักษณะของพระผู้สร้างและพ
LINE-HYPHEN	p514	อดไป ตามคำสอนของนักศาสน- | ศาสตร์เหล่านี้  การทรมาน
LINE-HYPHEN	p537	บ่าล้นที่กำบัง แล้วพันธ- | สัญญาของพวกท่านกับความตา
LINE-HYPHEN	p539	อโลกของคาทอลิก... อาร์ค- | บิชอปแห่งเซนต์หลุยซ์เคยก
LINE-HYPHEN	p540	สแตนต์เข้าไปยุ่งและสนับ- | สนุนหลักคำสอนและพิธีกรรม
LINE-HYPHEN	p547	ัจจุบันนี้ในประเทศสหรัฐ- | อเมริกาเพื่อให้สถาบันต่า
LINE-HYPHEN	p548	็นกฎหมายที่จักรพรรดิคอน- | สแตนตินทรงตราขึ้นในปี ค.
LINE-HYPHEN	p549	างขวางแม้แต่ในชาวโปรเตส- | แตนต์ด้วยกันเอง คือว่าเน
LINE-HYPHEN	p554	อลิกของพระองค์ และคริสต- | จักรโรมันคาทอลิก และจะรั
LINE-HYPHEN	p565	 และแม้แต่ในประเทศสหรัฐ- | อเมริกาที่เป็นประเทศเสรี
LINE-HYPHEN	p582	ด้ ยกเว้นว่าจะยอมให้จิต- | วิญญาณต้องเสี่ยงต่อความพ
LINE-HYPHEN	p587	ทั้งหลายรวมถึงบรรดาอัคร- | ทูตของพระองค์ ดังนั้นเมื
LINE-HYPHEN	p588	มขัดแย้งไปทั่วทั้งคริสต- | อาณาจักร และผู้มีอำนาจฝ่
LINE-HYPHEN	p588	ต่อต้านข้อกำหนดของคริสต- | จักรและกฎหมายของรัฐไม่คว
LINE-HYPHEN	p589	อยู่นั้นเป็นทูตแห่งพันธ- | สัญญา  ถึงแม้เขาจะพิการแ
LINE-HYPHEN	p603	รของพระเจ้ารอคอยเครื่อง- | หมายของการเสด็จมาของพระร
LINE-HYPHEN	p618	วนั้นทรงสมควรได้รับฤทธา- | นุภาพ” วิวรณ์ 5:12 พระผู
JOIN-SPACE	p624	ยวเท่านั้น’” | วิวรณ์ 18:5-
LINE-HYPHEN	p626	วกเขาไม่ได้รักษาสัมพันธ- | ภาพที่ถูกต้องกับพระเจ้า 
LINE-HYPHEN	p627	จะทรงยืนยันอำนาจของธรรม- | บัญญัติของพระองค์ที่ถูกเ
LINE-HYPHEN	p629	“ในปฐม- | กาล” โลกนั้นก็ “ว่างเปล่
LINE-HYPHEN	p637	่ถูกไถ่ให้รอดแล้วมีอัคร- | ทูตของพระคริสต์รวมอยู่ด้
LINE-HYPHEN	p644	นั่น พระองค์ทรงซ่อนฤทธา- | นุภาพของพระองค์”  ฮาบากุ
